CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader crumb
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 2003
Total batches: 86 (at batch size 16)

============================================================
Run 1/1  |  seed=43  |  results -> results/robust_classification/run_20260626_074913_seed43
============================================================

Training robust_classification for 300 epochs
  Batch  80 | t=[0,0] | loss=0.6260 | acc=12/16 | MISCLASSIFIED: [4] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  81 | t=[0,0] | loss=0.4551 | acc=13/16 | MISCLASSIFIED: [3] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [10] pred=1 true=0 t=0
  Batch  82 | t=[0,0] | loss=1.2984 | acc=6/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  83 | t=[0,0] | loss=0.4810 | acc=13/16 | MISCLASSIFIED: [3] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [8] pred=1 true=0 t=0
  Batch  84 | t=[0,0] | loss=0.6193 | acc=13/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  85 | t=[0,0] | loss=0.4962 | acc=11/14 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
Epoch 0 [warmup] | Loss: 0.7509 | Val Loss: 0.7565 | Val Acc: 53.1% | LR: 2.00e-03
--- Saved model to checkpoints/robust_classification/state.pt ---
--- Saved model to checkpoints/robust_classification_best/state.pt ---
  ** New best metric: 53.1% — saved to checkpoints/robust_classification_best
  Batch   0 | t=[0,2] | loss=0.7546 | acc=9/16 | MISCLASSIFIED: [2] pred=0 true=1 t=1, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=1, [13] pred=1 true=0 t=1, [15] pred=1 true=0 t=2
  Batch   1 | t=[0,2] | loss=0.7769 | acc=8/16 | MISCLASSIFIED: [1] pred=1 true=0 t=1, [3] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=2, [9] pred=0 true=1 t=2, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=1, [13] pred=1 true=0 t=0
  Batch   2 | t=[0,2] | loss=0.7049 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [4] pred=0 true=1 t=2, [6] pred=1 true=0 t=1, [8] pred=1 true=0 t=1, [12] pred=0 true=1 t=2
