CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader crumb
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 2003
Total batches: 86 (at batch size 16)

============================================================
Run 1/1  |  seed=42  |  results -> results/robust_classification/run_20260701_095352_seed42
============================================================

Training robust_classification for 200 epochs
  Batch  74 | t=[0,0] | loss=0.7668 | acc=11/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  75 | t=[0,0] | loss=0.5045 | acc=13/16 | MISCLASSIFIED: [3] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  76 | t=[0,0] | loss=0.4467 | acc=14/16 | MISCLASSIFIED: [8] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  77 | t=[0,0] | loss=0.6177 | acc=10/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  78 | t=[0,0] | loss=0.6701 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=1 true=0 t=0
  Batch  79 | t=[0,0] | loss=0.6312 | acc=10/16 | MISCLASSIFIED: [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  80 | t=[0,0] | loss=0.5986 | acc=12/16 | MISCLASSIFIED: [8] pred=1 true=0 t=0, [9] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
  Batch  81 | t=[0,0] | loss=0.5404 | acc=11/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [15] pred=0 true=1 t=0
  Batch  82 | t=[0,0] | loss=0.7792 | acc=8/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [13] pred=1 true=0 t=0
  Batch  83 | t=[0,0] | loss=0.4526 | acc=12/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [15] pred=0 true=1 t=0
  Batch  84 | t=[0,0] | loss=0.5674 | acc=13/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [9] pred=0 true=1 t=0
  Batch  85 | t=[0,0] | loss=0.4948 | acc=9/14 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=1 true=0 t=0
Epoch 0 [warmup] | Loss: 0.6498 | Val Loss: 0.7176 | Val Acc: 52.2% | LR: 6.39e-04
--- Saved model to checkpoints/robust_classification/state.pt ---
--- Saved model to checkpoints/robust_classification_best/state.pt ---
  ** New best metric: 52.2% — saved to checkpoints/robust_classification_best
  Batch   0 | t=[0,4] | loss=0.4852 | acc=12/16 | MISCLASSIFIED: [2] pred=0 true=1 t=2, [10] pred=0 true=1 t=4, [13] pred=1 true=0 t=1, [14] pred=0 true=1 t=4
  Batch   1 | t=[0,4] | loss=0.7148 | acc=8/16 | MISCLASSIFIED: [1] pred=0 true=1 t=4, [2] pred=1 true=0 t=1, [3] pred=0 true=1 t=2, [8] pred=1 true=0 t=4, [10] pred=1 true=0 t=4, [11] pred=1 true=0 t=4, [14] pred=1 true=0 t=1, [15] pred=0 true=1 t=3
  Batch   2 | t=[0,4] | loss=0.4027 | acc=14/16 | MISCLASSIFIED: [4] pred=0 true=1 t=0, [14] pred=1 true=0 t=1
  Batch   3 | t=[0,4] | loss=0.9684 | acc=6/16 | MISCLASSIFIED: [1] pred=1 true=0 t=1, [2] pred=1 true=0 t=1, [3] pred=1 true=0 t=3, [5] pred=1 true=0 t=4, [6] pred=1 true=0 t=3, [7] pred=1 true=0 t=3, [8] pred=1 true=0 t=1, [10] pred=1 true=0 t=1, [11] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch   4 | t=[0,4] | loss=0.6323 | acc=11/16 | MISCLASSIFIED: [0] pred=1 true=0 t=4, [5] pred=1 true=0 t=4, [6] pred=0 true=1 t=1, [10] pred=1 true=0 t=1, [15] pred=1 true=0 t=0
  Batch   5 | t=[1,4] | loss=0.7147 | acc=8/16 | MISCLASSIFIED: [1] pred=1 true=0 t=1, [3] pred=1 true=0 t=4, [5] pred=0 true=1 t=3, [7] pred=1 true=0 t=4, [8] pred=0 true=1 t=4, [9] pred=0 true=1 t=1, [12] pred=1 true=0 t=2, [15] pred=0 true=1 t=2
  Batch   6 | t=[0,4] | loss=0.6862 | acc=10/16 | MISCLASSIFIED: [1] pred=0 true=1 t=4, [4] pred=0 true=1 t=0, [7] pred=0 true=1 t=2, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=2, [15] pred=0 true=1 t=2
